Ship Mode;Segment;Country;City;State;Postal Code;Region;Category;Sub-Category;Sales;Quantity;Discount;Profit
Second Class;Consumer;United States;Henderson;Kentucky;42420;South;Furniture;Bookcases;261.96;2;0;419.136
Second Class;Consumer;United States;Henderson;Kentucky;42420;South;Furniture;Chairs;731.94;3;0;219.582
Second Class;Corporate;United States;Los Angeles;California;90036;West;Office Supplies;Labels;14.62;2;0;68.714
Standard Class;Consumer;United States;Fort Lauderdale;Florida;33311;South;Furniture;Tables;9.575.775;5;0.45;-383.031
Standard Class;Consumer;United States;Fort Lauderdale;Florida;33311;South;Office Supplies;Storage;22.368;2;0.2;25.164
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Furniture;Furnishings;48.86;7;0;141.694
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Art;7.28;4;0;19.656
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Technology;Phones;907.152;6;0.2;907.152
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Binders;18.504;3;0.2;57.825
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Office Supplies;Appliances;114.9;5;0;34.47
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Furniture;Tables;1.706.184;9;0.2;853.092
Standard Class;Consumer;United States;Los Angeles;California;90032;West;Technology;Phones;911.424;4;0.2;683.568
Standard Class;Consumer;United States;Concord;North Carolina;28027;South;Office Supplies;Paper;15.552;3;0.2;54.432
Standard Class;Consumer;United States;Seattle;Washington;98103;West;Office Supplies;Binders;407.976;3;0.2;1.325.922
Standard Class;Home Office;United States;Fort Worth;Texas;76106;Central;Office Supplies;Appliances;68.81;5;0.8;-123.858
Standard Class;Home Office;United States;Fort Worth;Texas;76106;Central;Office Supplies;Binders;2.544;3;0.8;-3.816
Standard Class;Consumer;United States;Madison;Wisconsin;53711;Central;Office Supplies;Storage;665.88;6;0;133.176
Second Class;Consumer;United States;West Jordan;Utah;84084;West;Office Supplies;Storage;55.5;2;0;9.99
Second Class;Consumer;United States;San Francisco;California;94109;West;Office Supplies;Art;8.56;2;0;24.824
Second Class;Consumer;United States;San Francisco;California;94109;West;Technology;Phones;213.48;3;0.2;16.011
Second Class;Consumer;United States;San Francisco;California;94109;West;Office Supplies;Binders;22.72;4;0.2;7.384
Standard Class;Corporate;United States;Fremont;Nebraska;68025;Central;Office Supplies;Art;19.46;7;0;50.596
Standard Class;Corporate;United States;Fremont;Nebraska;68025;Central;Office Supplies;Appliances;60.34;7;0;156.884
Second Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Chairs;71.372;2;0.3;-10.196
Standard Class;Consumer;United States;Orem;Utah;84057;West;Furniture;Tables;1044.63;3;0;2.402.649
Second Class;Consumer;United States;Los Angeles;California;90049;West;Office Supplies;Binders;11.648;2;0.2;42.224
Second Class;Consumer;United States;Los Angeles;California;90049;West;Technology;Accessories;90.57;3;0;117.741
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Bookcases;3083.43;7;0.5;-16.650.522
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Binders;9.618;2;0.7;-70.532
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Furniture;Furnishings;124.2;3;0.2;15.525
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Envelopes;3.264;2;0.2;11.016
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Art;86.304;6;0.2;97.092
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Binders;6.858;6;0.7;-5.715
Standard Class;Consumer;United States;Philadelphia;Pennsylvania;19140;East;Office Supplies;Art;15.76;2;0.2;3.546
Second Class;Home Office;United States;Houston;Texas;77095;Central;Office Supplies;Paper;29.472;3;0.2;99.468
First Class;Corporate;United States;Richardson;Texas;75080;Central;Technology;Phones;1.097.544;7;0.2;1.234.737
First Class;Corporate;United States;Richardson;Texas;75080;Central;Furniture;Furnishings;190.92;5;0.6;-147.963
Standard Class;Home Office;United States;Houston;Texas;77041;Central;Office Supplies;Envelopes;113.328;9;0.2;35.415
Standard Class;Home Office;United States;Houston;Texas;77041;Central;Furniture;Bookcases;5.323.992;3;0.32;-469.764
Standard Class;Home Office;United States;Houston;Texas;77041;Central;Furniture;Chairs;212.058;3;0.3;-15.147
Standard Class;Home Office;United States;Houston;Texas;77041;Central;Technology;Phones;371.168;4;0.2;417.564
Standard Class;Corporate;United States;Naperville;Illinois;60540;Central;Technology;Phones;147.168;4;0.2;165.564
Standard Class;Corporate;United States;Los Angeles;California;90049;West;Office Supplies;Storage;77.88;2;0;3.894
Standard Class;Corporate;United States;Melbourne;Florida;32935;South;Office Supplies;Storage;95.616;2;0.2;95.616
First Class;Corporate;United States;Eagan;Minnesota;55122;Central;Technology;Accessories;45.98;2;0;197.714
First Class;Corporate;United States;Eagan;Minnesota;55122;Central;Office Supplies;Binders;17.46;2;0;82.062
Second Class;Consumer;United States;Westland;Michigan;48185;Central;Office Supplies;Storage;211.96;4;0;84.784
Standard Class;Consumer;United States;Dover;Delaware;19901;East;Technology;Accessories;45;3;0;4.95
Standard Class;Consumer;United States;Dover;Delaware;19901;East;Technology;Phones;21.8;2;0;6.104
Standard Class;Consumer;United States;New Albany;Indiana;47150;Central;Office Supplies;Binders;38.22;6;0;179.634
Standard Class;Consumer;United States;New Albany;Indiana;47150;Central;Office Supplies;Labels;75.18;6;0;353.346
Standard Class;Consumer;United States;New Albany;Indiana;47150;Central;Furniture;Furnishings;6.16;2;0;29.568
